ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
241,65,40,89,90291,1,4.1,1,299,1,0,1,1,0
242,31,5,184,92064,4,3.4,2,0,1,0,1,1,1
243,36,12,123,95060,2,5.6,2,0,1,0,1,1,1
244,36,12,109,94928,3,0.5,3,0,1,1,1,1,0
245,33,9,184,94304,2,4.8,2,0,1,0,0,0,0
246,46,20,185,94131,4,7.5,2,428,1,0,0,0,1
247,43,17,125,94720,4,3.5,2,0,1,0,0,0,0
248,39,12,138,92697,1,4.67,2,0,1,0,0,1,0
249,61,36,169,91380,2,6.1,3,106,1,0,1,1,1
250,38,13,140,90210,4,0.5,1,0,1,0,0,0,0
251,39,12,108,92717,4,3.67,2,301,1,0,0,0,1
252,37,11,123,94720,1,2.3,2,0,1,1,1,1,0
253,28,3,161,92646,4,1.7,3,422,1,0,1,1,1
254,34,8,164,94720,4,7.4,3,0,1,0,0,1,0
255,40,14,179,90025,1,2.6,3,0,1,0,0,1,0
256,52,28,168,90404,3,6.5,3,118,1,0,0,1,0
257,58,31,178,92009,2,6,2,0,1,0,0,1,0
258,51,27,92,92121,4,3,1,0,1,0,1,1,1
259,54,29,111,93023,1,1.1,2,0,1,0,0,1,0
260,51,25,104,94949,1,4.2,2,0,1,0,0,1,0
261,32,7,98,95929,1,4.2,1,171,1,1,1,0,0
262,34,8,171,90212,2,2.2,2,569,1,0,0,1,0
263,58,34,90,95039,1,3.6,2,0,1,0,0,0,0
264,31,5,180,94720,1,2.9,3,144,1,1,0,0,0
265,59,34,114,94606,3,4.2,2,0,1,0,0,1,0
266,47,23,149,92675,4,6.1,1,0,1,0,0,0,1
267,46,20,152,95814,1,7.4,3,374,1,0,1,1,1
268,48,23,161,96003,4,7.9,3,310,1,0,0,0,0
269,52,26,161,93108,4,4.3,1,0,1,0,1,1,1
270,52,26,110,94501,2,5.4,3,204,1,1,1,1,0
271,35,11,160,92093,4,5.7,3,0,1,1,0,0,0
272,42,17,111,94304,3,3,1,0,1,1,1,0,1
273,45,20,191,92007,3,2.6,3,123,1,0,0,0,0
274,54,29,154,95014,1,2.4,2,352,1,0,0,1,0
275,30,5,131,92068,3,0.5,3,0,1,0,0,0,0
276,63,38,148,93023,2,4.3,3,0,1,0,0,1,0
277,61,36,119,95064,2,5.4,2,0,1,0,0,1,0
278,35,9,131,90089,3,0.3,3,0,1,0,1,1,1
279,46,20,158,92870,3,5.4,1,432,1,0,0,0,1
280,58,33,173,92121,2,7.2,3,0,1,0,0,1,0
281,54,27,195,93117,2,4.75,2,477,1,0,0,0,0
282,33,9,183,91320,2,8.8,3,582,1,0,0,1,0
283,55,31,130,92646,4,6.5,1,0,1,0,0,0,1
284,63,37,185,94309,2,7.9,2,358,1,0,0,1,0
285,59,35,168,95521,4,4.1,2,0,1,0,0,1,0
286,36,9,115,91765,4,2.2,2,0,1,0,0,0,0
287,52,22,154,90650,1,5,3,0,1,1,1,1,0
288,37,12,182,94523,3,5.8,3,0,1,0,0,1,0
289,42,16,185,94705,3,2.2,2,0,1,1,1,1,1
290,53,28,183,96008,3,8.2,3,467,1,0,1,1,1
291,45,21,133,92056,4,5.7,3,0,1,0,1,1,1
292,30,6,181,94542,3,4.1,2,0,1,0,1,1,1
293,37,11,190,94305,4,7.3,2,565,1,0,1,1,0
294,36,10,172,94704,4,1,2,295,1,0,0,1,0
295,34,8,184,93106,3,7.5,1,0,1,0,0,0,0
296,35,11,188,94596,1,0.9,3,282,1,0,0,1,0
297,49,25,114,91380,1,2.5,3,0,1,0,0,1,0
298,45,19,122,94590,4,4.1,2,0,1,0,0,1,0
299,57,31,113,91711,4,0.6,3,327,1,0,0,1,0
300,27,1,140,91711,1,5.9,2,175,1,1,1,1,0
301,56,32,190,90032,3,2.2,1,0,1,0,1,1,0
302,46,22,102,95039,3,4.5,3,0,1,0,0,1,0
303,44,20,130,90291,4,3.2,2,0,1,0,0,0,0
304,26,2,132,94720,2,2.4,3,0,1,0,0,0,1
305,62,38,195,91125,4,5.2,3,522,1,0,1,1,1
306,44,18,162,90840,4,1.3,1,301,1,0,0,0,0
307,54,30,121,95039,2,1.1,3,0,1,1,0,0,0
308,55,30,153,94305,2,2.8,2,0,1,1,1,1,0
309,42,18,103,91367,1,3.33,1,0,1,1,1,1,1
310,40,14,164,94720,1,4.3,2,0,1,0,0,0,0
311,62,36,148,94111,3,7,2,0,1,0,0,1,0
312,62,37,169,95014,3,5,2,184,1,0,1,1,1
313,43,19,130,90630,2,4.7,3,221,1,0,0,0,1
314,27,2,158,95060,3,0.4,2,0,1,0,1,1,0
315,34,9,141,95616,2,4.9,3,0,1,0,0,0,1
316,45,21,134,92697,4,5.5,2,0,1,0,1,1,1
317,64,38,168,94061,4,5.7,3,0,1,0,0,1,0
318,26,0,129,90028,3,0.7,2,0,1,0,0,0,0
319,43,18,179,94108,3,1.2,1,0,1,1,1,1,0
320,57,31,131,90405,3,0.6,1,0,1,0,0,1,0
321,34,8,175,95051,4,1.1,3,0,1,1,1,1,1
322,34,10,114,94305,3,3.3,3,0,1,0,0,0,0
323,47,22,124,90027,4,5,3,0,1,0,0,0,0
324,27,1,99,94305,1,3,3,149,1,0,0,0,1
325,41,15,158,94304,1,4.7,2,0,1,1,1,0,1
326,42,16,173,91355,2,1.5,2,373,1,0,1,1,1
327,65,39,94,93022,4,4.1,1,120,1,0,1,1,1
328,43,17,111,91423,4,5.4,3,0,1,0,0,1,0
329,50,23,179,94609,4,3.6,2,0,1,0,0,1,0
330,52,27,93,90291,4,4.1,2,0,1,0,0,0,1
331,55,31,159,92123,1,3.9,3,0,1,0,0,0,0
332,56,30,140,94122,4,0.5,1,292,1,0,0,0,0
333,42,16,141,94960,3,4,2,0,1,0,0,0,0
334,63,37,132,94080,1,4.4,2,0,1,0,0,1,0
335,46,20,105,90089,4,3.2,1,0,1,0,0,0,0
336,60,35,153,95136,3,2,3,0,1,0,0,0,1
337,53,27,174,91006,1,2.9,2,0,1,0,0,1,0
338,42,18,164,93407,1,1.3,3,0,1,1,1,1,1
339,27,1,141,95135,4,5.1,3,354,1,0,0,0,0
340,62,37,125,94801,1,1,3,0,1,0,0,1,0
341,49,23,115,95051,3,4.6,3,0,1,0,0,0,0
342,45,18,163,94720,3,5.33,2,0,1,0,1,0,1
343,28,2,182,92660,3,7.2,2,442,1,0,1,1,1
344,46,22,135,95135,3,4.1,1,213,1,0,0,1,0
345,35,10,142,94061,4,0.8,3,0,1,0,0,0,0
346,54,29,82,94709,3,3.7,2,0,1,0,0,1,0
347,57,32,135,90095,3,4.8,2,0,1,1,1,1,0
348,46,22,125,94536,2,4.7,3,0,1,0,0,1,0
349,61,37,172,92612,4,4.25,1,0,1,0,1,1,1
350,63,37,149,90840,2,0.2,3,364,1,0,0,1,0
351,54,27,120,92672,4,3,2,431,1,0,0,1,0
352,31,6,133,95747,1,1.5,3,0,1,0,0,0,0
353,36,12,154,91320,3,6.4,1,0,1,1,0,0,0
354,30,6,182,93561,4,0.8,3,94,1,0,0,1,0
355,33,9,125,92182,1,4.3,3,0,1,0,0,1,0
356,30,6,95,94234,1,3.9,3,146,1,0,0,0,1
357,45,20,144,92106,4,5.4,1,210,1,0,0,1,0
358,30,5,118,92182,4,3,3,0,1,0,0,1,0
359,32,8,169,94596,1,6.5,3,272,1,1,1,1,0
360,53,27,139,94998,1,0.9,3,0,1,0,0,0,0
361,42,18,153,93955,3,5.6,1,416,1,0,0,0,0
362,60,36,165,90095,3,5.6,1,0,1,0,0,0,1
363,29,5,128,91302,2,4.1,2,209,1,0,0,1,0
364,61,31,130,92333,2,2.6,3,0,1,0,0,0,0
365,50,25,99,90245,1,4.6,1,368,1,1,1,0,1
366,35,11,148,92672,1,5.8,3,0,1,0,0,1,0
367,34,10,154,94583,3,5.4,2,0,1,0,0,1,0
368,34,9,141,92056,3,6.9,2,260,1,0,0,1,0
369,49,23,140,90504,1,1.9,3,0,1,0,0,0,1
370,29,4,120,94553,1,4.1,2,0,1,1,1,0,1
371,38,13,129,92037,4,0.3,3,75,1,0,0,1,0
372,50,25,160,93108,4,4.3,3,410,1,0,0,0,0
373,36,11,184,91304,2,5.1,2,0,1,0,0,0,0
374,63,39,131,92521,3,2.6,3,229,1,0,0,1,0
375,28,3,118,91902,3,2.4,2,161,1,0,0,0,0
376,26,0,83,91360,3,3.9,2,0,1,0,0,1,0
377,45,21,142,91101,1,1.4,2,0,1,0,0,1,0
378,59,35,108,90245,4,3.8,2,304,1,0,0,1,0
379,27,3,135,93108,3,2.7,3,449,1,0,0,0,1
380,30,6,115,94611,4,3.8,2,0,1,0,0,1,0
381,35,9,188,92220,2,3.7,2,259,1,0,0,1,0
382,63,33,178,91768,4,9,3,0,1,0,0,0,0
383,33,9,131,90065,3,2.2,3,0,1,1,0,0,0
384,32,7,129,94720,4,5.2,2,0,1,0,0,0,1
385,42,18,158,92124,2,0.4,2,277,1,0,0,0,1
386,62,32,142,95112,2,2.8,3,0,1,0,0,0,1
387,42,17,139,91101,2,2.9,3,0,1,0,0,1,0
388,64,34,179,90024,2,4.5,3,400,1,0,0,0,0
389,61,36,188,91360,1,9.3,2,0,1,0,0,0,0
390,29,3,123,92821,3,5.6,3,428,1,0,0,1,0
391,32,8,119,94710,4,5,3,0,1,0,0,1,0
392,37,12,123,94304,4,3.1,2,253,1,0,1,1,1
393,43,19,123,91107,3,1.3,1,0,1,0,0,1,0
394,39,13,93,93555,4,3.6,3,0,1,0,0,1,0
395,38,14,182,92152,3,2.6,3,0,1,0,1,1,1
396,59,35,85,91330,1,3.4,3,0,1,0,1,0,1
397,47,22,95,93311,2,3.9,2,0,1,0,0,0,0
398,62,37,93,93003,3,3,3,0,1,0,1,1,1
399,61,31,154,94555,3,7.5,3,351,1,0,1,1,1
400,53,28,173,91614,4,2.7,1,427,1,0,0,1,0
401,58,32,191,93943,4,5.2,3,194,1,0,0,0,1
402,51,25,175,90089,3,0.7,1,312,1,0,0,0,0
403,27,1,142,92038,3,5.5,1,0,1,0,0,0,0
404,34,9,180,93955,2,6.5,3,0,1,0,1,1,0
405,60,35,155,92521,1,1.5,3,0,1,0,0,0,1
406,52,28,179,94583,4,4.2,3,0,1,0,0,0,0
407,49,24,138,93111,2,2.2,2,0,1,0,0,1,0
408,53,29,141,90064,2,0.2,3,0,1,0,0,0,0
409,59,35,180,96008,2,6.5,2,0,1,1,1,1,1
410,44,18,123,95841,3,5.9,1,0,1,0,1,1,1
411,51,25,163,94305,2,1.3,3,0,1,0,0,1,0
412,54,28,108,94110,4,1.9,2,0,1,0,0,1,0
413,63,38,135,91768,2,3.8,3,183,1,0,0,0,0
414,48,24,144,94025,4,3.5,2,0,1,0,0,0,0
415,60,34,139,95020,4,0.4,1,0,1,0,0,1,0
416,41,17,143,90059,2,2.7,3,209,1,0,0,1,0
417,42,17,154,93955,3,4.9,1,0,1,0,1,1,1
418,29,3,91,94122,1,3.4,3,0,1,0,0,0,0
419,40,16,89,95814,3,3.9,2,216,1,1,1,1,0
420,60,35,173,90059,3,3.1,3,0,1,0,0,1,0
421,52,26,155,92660,3,7.2,2,0,1,0,0,1,0
422,52,26,158,94920,2,3.7,3,251,1,0,0,0,1
423,52,26,194,91902,2,5.7,2,0,1,0,0,1,0
424,26,0,195,92093,3,6.33,3,0,1,1,1,1,0
425,63,37,191,94131,2,4.3,3,205,1,0,0,0,0
426,49,24,130,92677,4,1.1,1,281,1,0,1,1,0
427,52,27,85,92037,3,3.4,3,0,1,0,0,0,0
428,45,19,128,94928,4,6,3,0,1,0,0,1,0
429,44,20,132,94115,3,2.6,1,308,1,0,0,0,0
430,34,8,188,94025,1,2.9,3,0,1,0,0,1,0
431,65,41,170,94143,4,6.1,2,0,1,0,1,1,1
432,64,38,143,95039,2,6.4,3,0,1,1,1,1,0
433,26,2,182,93010,2,3.2,2,0,1,0,0,0,0
434,26,1,184,94608,2,4.2,3,577,1,0,1,1,1
435,40,16,140,93940,3,5.6,1,0,1,0,0,0,0
436,39,14,141,93302,4,6.3,1,0,1,1,1,1,1
437,33,8,145,92507,1,2.7,3,0,1,0,0,1,0
438,64,40,181,93403,2,2.3,2,0,1,0,1,1,1
439,33,8,178,94720,3,8.5,1,0,1,1,1,1,0
440,59,34,145,95125,4,1.8,1,198,1,0,0,1,0
441,57,31,164,94607,2,3.8,3,422,1,0,1,1,1
442,26,0,164,95973,2,4,3,301,1,0,0,1,0
443,33,7,104,94542,2,3.6,3,0,1,0,0,0,1
444,44,20,111,91911,2,5.3,2,0,1,0,0,1,0
445,55,30,145,92037,2,6,3,0,1,0,0,1,0
446,29,4,182,95354,1,3.7,3,0,1,0,0,1,0
447,48,22,133,90073,2,3.1,2,0,1,0,0,1,0
448,33,8,120,92614,2,4.2,3,76,1,0,0,0,1
449,53,27,115,90095,2,0.5,3,0,1,0,0,0,0
450,52,26,83,92521,1,3.1,1,0,1,0,0,1,0
451,35,11,180,94010,1,3.6,3,571,1,0,1,1,1
452,58,34,151,94022,3,0.6,2,0,1,0,0,0,0
453,54,30,133,95747,1,5,2,0,1,0,0,0,1
454,32,7,81,90601,2,3.4,2,0,1,0,0,0,1
455,45,21,102,92037,4,4.7,2,81,1,0,0,0,0
456,27,1,134,93106,1,1.7,2,307,1,0,0,1,0
457,27,1,130,94801,3,2.9,2,0,1,0,0,0,0
458,32,8,142,90095,4,6.2,2,120,1,0,1,1,1
459,65,40,143,95616,4,6.6,2,0,1,0,0,1,0
460,38,12,184,91311,3,8,1,0,1,0,0,1,0
461,33,7,188,95054,2,7,2,581,1,0,0,0,0
462,48,22,162,94143,3,1.4,1,400,1,0,0,0,0
463,35,5,108,90630,2,2.75,3,0,1,1,0,0,0
464,61,37,141,92677,3,0.7,1,0,1,0,1,1,1
465,32,8,140,94102,4,6.6,3,0,1,0,1,0,1
466,51,25,173,95051,1,0.5,2,0,1,0,0,1,0
467,35,11,101,94143,3,3.8,3,150,1,0,0,1,0
468,36,12,123,90502,2,3,3,0,1,0,0,0,0
469,29,4,184,92126,4,2.2,3,612,1,0,0,1,0
470,46,21,115,95616,2,4.2,3,0,1,1,1,1,1
471,49,23,174,95449,3,4.6,2,590,1,0,0,0,0
472,35,10,135,94596,3,4.8,2,0,1,0,0,1,0
473,34,8,165,91107,1,7,3,541,1,0,0,0,0
474,50,24,133,90025,4,1.4,2,342,1,0,0,0,1
475,44,19,142,95054,1,1.5,3,0,1,0,0,0,0
476,38,13,129,92646,3,4.1,3,0,1,0,1,1,1
477,43,19,121,94720,1,0.7,2,0,1,0,1,1,1
478,28,4,112,90049,2,1.6,2,0,1,0,0,1,0
479,46,20,122,90065,3,3,3,0,1,0,1,1,1
480,29,5,135,95762,3,5.3,1,0,1,0,1,1,1