Age,Income,Family,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
34,180,1,3,0,0,0,0,0
38,130,4,3,134,0,0,0,0
46,193,2,3,0,0,0,0,0
38,119,1,2,0,0,1,1,1
42,141,3,3,0,1,1,1,0
32,132,4,2,412,0,0,1,0
37,194,4,3,211,1,1,1,1
50,190,3,3,240,0,0,1,0
56,131,2,3,0,0,0,0,0
31,135,4,2,0,0,1,1,1
54,133,2,3,0,0,0,0,0
55,118,4,2,0,0,0,1,0
58,149,4,2,0,0,1,1,1
26,132,3,3,0,0,0,0,1
29,134,4,3,0,0,0,0,0
42,168,2,2,0,0,0,1,0
29,148,3,1,0,0,0,1,0
46,159,3,3,315,0,0,1,0
36,158,1,3,0,0,1,1,1
64,172,4,1,282,0,1,1,1
65,170,3,3,99,0,1,1,0
53,120,4,2,111,1,1,1,0
54,170,2,2,325,0,0,1,0
65,134,3,3,121,0,0,1,0
42,111,2,3,251,0,0,1,0
44,172,2,3,391,1,1,1,0
41,159,1,3,0,0,1,1,0
49,195,4,1,617,0,0,0,0
57,165,1,2,0,0,0,1,0
40,119,2,2,0,0,0,1,0
44,101,3,2,82,0,0,0,0
63,101,1,1,0,1,1,1,0
59,99,1,1,0,0,0,0,0
56,158,4,1,0,0,0,0,0
40,173,4,1,0,0,1,1,1
26,60,2,1,132,0,0,0,0
28,155,4,2,0,0,0,1,0
57,174,1,2,466,0,0,1,0
65,133,4,1,0,0,0,0,1
54,100,4,3,0,0,0,0,0
36,179,3,1,0,0,0,1,0
28,115,4,2,0,0,0,0,0
58,113,2,2,119,0,1,1,1
58,122,1,3,115,0,0,1,0
29,183,3,3,0,0,0,1,0
48,149,2,2,0,1,1,1,0
43,83,4,3,0,0,0,0,1
64,182,1,2,547,0,0,1,0
43,152,3,2,0,0,0,0,0
56,173,1,2,88,0,1,1,0
36,69,3,2,0,0,0,1,0
64,122,4,1,378,0,0,1,0
44,131,1,3,0,0,0,1,0
53,175,3,3,0,0,1,1,1
49,161,3,2,485,1,1,0,0
48,152,1,3,0,0,0,1,0
28,170,1,3,0,0,0,0,0
33,115,4,2,0,0,0,1,0
57,165,4,3,0,0,0,1,0
47,122,1,3,163,1,0,0,0
54,129,4,3,0,0,0,0,0
65,185,3,2,0,0,0,0,0
65,105,1,2,282,1,1,1,0
34,164,1,3,0,0,0,1,0
35,109,3,1,0,0,0,0,0
45,132,3,2,0,0,1,1,1
45,114,2,2,0,0,0,0,0
61,152,3,3,0,0,0,1,0
64,138,2,2,0,0,0,1,0
47,109,4,1,0,0,0,0,0
26,172,2,2,0,0,0,1,0
54,165,1,3,0,0,1,1,1
50,135,2,3,91,0,0,1,0
53,192,2,3,0,0,0,0,0
56,158,3,3,0,0,0,1,0
54,194,3,3,587,1,1,1,1
45,202,3,3,0,0,0,0,0
55,132,3,2,307,0,0,0,0
50,130,1,2,0,0,0,1,0
36,150,4,1,0,1,1,1,0
63,124,3,2,170,0,0,0,0
57,182,2,3,372,0,0,0,0
32,120,4,1,301,0,1,1,1
50,161,3,1,212,0,0,1,0
30,172,3,2,0,0,0,0,1
65,195,3,1,0,1,1,0,1
65,95,3,2,138,0,0,0,1
61,193,1,3,203,0,0,1,0
38,129,4,1,140,0,0,0,0
59,83,2,3,0,0,0,1,0
37,169,2,3,249,0,0,1,0
62,135,2,2,0,0,0,1,0
43,174,3,3,231,0,1,1,1
63,83,2,1,0,0,0,0,0
36,142,3,2,0,0,1,1,1
41,185,1,2,0,0,0,0,0
44,99,3,3,357,0,0,0,0
50,192,2,3,301,0,1,1,1
27,118,1,2,0,0,0,1,0
58,122,4,2,0,0,1,1,0
29,110,4,3,0,0,0,0,0
56,145,4,2,0,0,1,1,1
41,175,2,3,0,0,0,1,0
53,145,2,3,294,0,1,1,1
47,83,1,1,97,0,0,0,0
41,138,3,2,0,0,0,1,0
30,125,4,3,0,0,1,1,0
44,75,2,1,0,0,0,1,0
29,175,3,3,329,0,0,1,0
60,191,4,3,0,0,0,0,0
50,188,3,1,184,0,0,0,1
35,182,1,2,229,0,1,1,1
32,104,2,1,0,0,0,0,1
30,171,2,2,0,0,0,0,0
30,73,3,1,0,0,1,1,1
51,134,4,3,0,1,1,1,0
32,143,3,3,0,0,0,1,0
33,120,1,3,0,0,0,1,0
36,181,3,1,0,0,0,0,0
41,94,3,2,327,1,1,1,0
30,112,4,2,0,0,0,0,1
29,103,4,1,0,0,0,1,0
28,71,1,2,149,1,1,1,0
32,123,2,2,0,0,0,1,0
26,190,4,2,197,0,0,1,0
63,165,4,3,0,0,0,0,0
30,118,2,2,0,0,0,0,0
38,169,1,3,0,0,1,1,1
33,130,3,2,99,0,0,0,1
60,130,3,3,437,0,1,1,1
38,113,4,2,0,0,0,0,1
56,164,4,2,234,0,1,1,1
31,192,1,2,0,0,0,1,0
60,145,4,1,380,0,0,0,1
26,179,4,2,0,0,0,0,0
52,180,2,2,297,0,0,1,0
26,171,3,2,0,0,0,1,0
39,139,3,1,483,0,0,1,0
60,135,3,3,0,0,0,1,0
50,179,1,3,0,0,0,0,1
47,190,4,3,305,0,0,0,0
55,172,1,2,0,0,0,0,0
46,183,1,2,0,0,1,1,1
63,101,2,3,294,0,0,1,0
40,129,1,3,0,0,0,1,0
65,184,1,3,176,0,1,1,1
65,154,2,2,0,1,1,1,1
60,154,1,2,0,1,1,1,0
65,160,4,1,237,0,0,1,0
35,141,2,2,0,0,0,0,0
52,178,3,3,147,0,0,1,0
52,91,1,2,0,0,1,1,1
30,191,2,2,0,0,0,1,0
43,64,4,3,221,0,0,1,0
40,155,4,3,0,0,1,1,1
59,102,4,2,115,0,0,1,0
41,114,4,1,0,0,0,0,1
34,65,1,1,227,0,0,1,0
29,122,4,1,0,0,0,0,1
43,170,4,1,318,0,1,1,1
61,184,4,2,342,0,1,1,1
57,124,1,2,0,0,0,1,0
56,192,1,3,0,0,1,1,0
36,138,1,3,86,0,0,1,0
55,111,2,3,0,0,0,0,1
48,84,4,2,0,1,1,1,0
53,154,4,3,0,0,0,0,0
61,153,1,2,0,1,1,0,1
31,93,2,2,0,0,0,1,0
30,193,3,3,0,0,0,1,0
58,152,4,3,0,0,0,0,0
62,158,2,3,0,0,0,1,0
48,182,4,3,0,0,0,1,0
33,139,1,3,106,0,1,1,1
51,190,2,2,0,0,0,1,0
48,173,3,1,0,0,1,1,1
37,139,2,2,421,0,0,1,0
57,114,4,1,0,1,1,1,0
43,125,3,1,0,0,0,1,0
33,155,1,3,0,0,0,0,0
43,128,4,1,84,0,0,0,0
54,119,3,1,0,1,1,0,0
44,171,4,1,567,0,1,1,1
35,113,3,3,0,0,0,1,0
56,98,3,3,0,0,0,0,0
44,185,3,1,0,0,0,1,0
48,112,1,2,86,1,1,1,0
49,194,4,2,0,0,0,0,1
56,161,1,3,0,1,0,0,0
34,178,1,3,0,0,0,0,0
30,179,3,1,142,0,0,1,0
63,110,1,3,0,0,0,0,0
56,125,3,1,342,0,1,1,1
56,111,4,1,372,1,1,1,0
42,191,3,2,0,1,1,1,0
57,134,4,1,198,0,0,1,0
39,118,2,3,246,0,1,1,1
34,191,1,3,0,0,1,1,1
51,181,1,3,589,1,1,1,0
56,103,3,3,0,0,0,0,0
44,128,2,2,0,0,0,0,1
30,142,3,1,359,0,0,0,0
47,170,2,2,0,0,1,1,1
49,169,3,3,167,0,1,0,1
46,103,4,3,0,0,0,1,0
36,113,4,1,0,0,0,0,0
45,180,3,2,535,0,0,0,0
43,161,3,2,0,0,1,1,1
63,134,3,2,0,0,0,0,1
63,159,4,2,111,0,0,0,0
34,160,4,3,0,0,0,0,1
51,188,2,2,343,0,0,1,0
47,174,4,3,0,0,0,0,0
35,203,1,3,0,0,0,0,0
47,178,1,3,0,0,0,0,0
50,115,1,3,0,0,0,0,1
33,168,3,2,0,1,1,1,0
50,83,4,1,0,0,0,0,1
61,99,1,3,255,0,0,0,1
37,158,2,2,0,0,1,1,1
62,183,2,3,0,0,0,0,0
34,123,1,2,0,0,0,1,0
51,189,4,2,0,0,0,1,0
38,180,1,3,158,0,0,1,0
28,193,3,2,0,0,0,1,0
48,162,4,2,446,0,1,1,0
36,183,1,3,0,0,1,1,1
35,190,3,2,266,0,0,0,0
30,150,4,2,0,0,0,1,0
55,131,2,2,0,0,0,0,1
38,168,2,3,0,0,0,0,0
27,105,1,2,0,1,0,0,0
29,172,4,1,0,0,0,0,0
48,114,1,3,0,0,0,1,0
57,170,2,2,0,0,0,0,0
27,170,3,1,0,0,0,1,0
52,182,2,2,0,0,0,1,0
31,129,3,3,319,1,1,0,1
27,130,3,1,192,0,0,1,0
43,201,1,2,0,0,0,0,1
65,89,1,1,299,0,1,1,0
31,184,4,2,0,0,1,1,1
36,123,2,2,0,0,1,1,1
36,109,3,3,0,1,1,1,0
33,184,2,2,0,0,0,0,0
46,185,4,2,428,0,0,0,1
43,125,4,2,0,0,0,0,0
39,138,1,2,0,0,0,1,0
61,169,2,3,106,0,1,1,1
38,140,4,1,0,0,0,0,0
39,108,4,2,301,0,0,0,1
37,123,1,2,0,1,1,1,0
28,161,4,3,422,0,1,1,1
34,164,4,3,0,0,0,1,0
40,179,1,3,0,0,0,1,0
52,168,3,3,118,0,0,1,0
58,178,2,2,0,0,0,1,0
51,92,4,1,0,0,1,1,1
54,111,1,2,0,0,0,1,0
51,104,1,2,0,0,0,1,0
32,98,1,1,171,1,1,0,0
34,171,2,2,569,0,0,1,0
58,90,1,2,0,0,0,0,0
31,180,1,3,144,1,0,0,0
59,114,3,2,0,0,0,1,0
47,149,4,1,0,0,0,0,1
46,152,1,3,374,0,1,1,1
48,161,4,3,310,0,0,0,0
52,161,4,1,0,0,1,1,1
52,110,2,3,204,1,1,1,0
35,160,4,3,0,1,0,0,0
42,111,3,1,0,1,1,0,1
45,191,3,3,123,0,0,0,0
54,154,1,2,352,0,0,1,0
30,131,3,3,0,0,0,0,0
63,148,2,3,0,0,0,1,0
61,119,2,2,0,0,0,1,0
35,131,3,3,0,0,1,1,1
46,158,3,1,432,0,0,0,1
58,173,2,3,0,0,0,1,0
54,195,2,2,477,0,0,0,0
33,183,2,3,582,0,0,1,0
55,130,4,1,0,0,0,0,1
63,185,2,2,358,0,0,1,0
59,168,4,2,0,0,0,1,0
36,115,4,2,0,0,0,0,0
52,154,1,3,0,1,1,1,0
37,182,3,3,0,0,0,1,0
42,185,3,2,0,1,1,1,1
53,183,3,3,467,0,1,1,1
45,133,4,3,0,0,1,1,1
30,181,3,2,0,0,1,1,1
37,190,4,2,565,0,1,1,0
36,172,4,2,295,0,0,1,0
34,184,3,1,0,0,0,0,0
35,188,1,3,282,0,0,1,0
49,114,1,3,0,0,0,1,0
45,122,4,2,0,0,0,1,0
57,113,4,3,327,0,0,1,0
27,140,1,2,175,1,1,1,0
56,190,3,1,0,0,1,1,0
46,102,3,3,0,0,0,1,0
44,130,4,2,0,0,0,0,0
26,132,2,3,0,0,0,0,1
62,195,4,3,522,0,1,1,1
44,162,4,1,301,0,0,0,0
54,121,2,3,0,1,0,0,0
55,153,2,2,0,1,1,1,0
42,103,1,1,0,1,1,1,1
40,164,1,2,0,0,0,0,0
62,148,3,2,0,0,0,1,0
62,169,3,2,184,0,1,1,1
43,130,2,3,221,0,0,0,1
27,158,3,2,0,0,1,1,0
34,141,2,3,0,0,0,0,1
45,134,4,2,0,0,1,1,1
64,168,4,3,0,0,0,1,0
26,129,3,2,0,0,0,0,0
43,179,3,1,0,1,1,1,0
57,131,3,1,0,0,0,1,0
34,175,4,3,0,1,1,1,1
34,114,3,3,0,0,0,0,0
47,124,4,3,0,0,0,0,0
27,99,1,3,149,0,0,0,1
41,158,1,2,0,1,1,0,1
42,173,2,2,373,0,1,1,1
65,94,4,1,120,0,1,1,1
43,111,4,3,0,0,0,1,0
50,179,4,2,0,0,0,1,0
52,93,4,2,0,0,0,0,1
55,159,1,3,0,0,0,0,0
56,140,4,1,292,0,0,0,0
42,141,3,2,0,0,0,0,0
63,132,1,2,0,0,0,1,0
46,105,4,1,0,0,0,0,0
60,153,3,3,0,0,0,0,1
53,174,1,2,0,0,0,1,0
42,164,1,3,0,1,1,1,1
27,141,4,3,354,0,0,0,0
62,125,1,3,0,0,0,1,0
49,115,3,3,0,0,0,0,0
45,163,3,2,0,0,1,0,1
28,182,3,2,442,0,1,1,1
46,135,3,1,213,0,0,1,0
35,142,4,3,0,0,0,0,0
54,82,3,2,0,0,0,1,0
57,135,3,2,0,1,1,1,0
46,125,2,3,0,0,0,1,0
61,172,4,1,0,0,1,1,1
63,149,2,3,364,0,0,1,0
54,120,4,2,431,0,0,1,0
31,133,1,3,0,0,0,0,0
36,154,3,1,0,1,0,0,0
30,182,4,3,94,0,0,1,0
33,125,1,3,0,0,0,1,0
30,95,1,3,146,0,0,0,1
45,144,4,1,210,0,0,1,0
30,118,4,3,0,0,0,1,0
32,169,1,3,272,1,1,1,0
53,139,1,3,0,0,0,0,0
42,153,3,1,416,0,0,0,0
60,165,3,1,0,0,0,0,1
29,128,2,2,209,0,0,1,0
61,130,2,3,0,0,0,0,0
50,99,1,1,368,1,1,0,1
35,148,1,3,0,0,0,1,0
34,154,3,2,0,0,0,1,0
34,141,3,2,260,0,0,1,0
49,140,1,3,0,0,0,0,1
29,120,1,2,0,1,1,0,1
38,129,4,3,75,0,0,1,0
50,160,4,3,410,0,0,0,0
36,184,2,2,0,0,0,0,0
63,131,3,3,229,0,0,1,0
28,118,3,2,161,0,0,0,0
26,83,3,2,0,0,0,1,0
45,142,1,2,0,0,0,1,0
59,108,4,2,304,0,0,1,0
27,135,3,3,449,0,0,0,1
30,115,4,2,0,0,0,1,0
35,188,2,2,259,0,0,1,0
63,178,4,3,0,0,0,0,0
33,131,3,3,0,1,0,0,0
32,129,4,2,0,0,0,0,1
42,158,2,2,277,0,0,0,1
62,142,2,3,0,0,0,0,1
42,139,2,3,0,0,0,1,0
64,179,2,3,400,0,0,0,0
61,188,1,2,0,0,0,0,0
29,123,3,3,428,0,0,1,0
32,119,4,3,0,0,0,1,0
37,123,4,2,253,0,1,1,1
43,123,3,1,0,0,0,1,0
39,93,4,3,0,0,0,1,0
38,182,3,3,0,0,1,1,1
59,85,1,3,0,0,1,0,1
47,95,2,2,0,0,0,0,0
62,93,3,3,0,0,1,1,1
61,154,3,3,351,0,1,1,1
53,173,4,1,427,0,0,1,0
58,191,4,3,194,0,0,0,1
51,175,3,1,312,0,0,0,0
27,142,3,1,0,0,0,0,0
34,180,2,3,0,0,1,1,0
60,155,1,3,0,0,0,0,1
52,179,4,3,0,0,0,0,0
49,138,2,2,0,0,0,1,0
53,141,2,3,0,0,0,0,0
59,180,2,2,0,1,1,1,1
44,123,3,1,0,0,1,1,1
51,163,2,3,0,0,0,1,0
54,108,4,2,0,0,0,1,0
63,135,2,3,183,0,0,0,0
48,144,4,2,0,0,0,0,0
60,139,4,1,0,0,0,1,0
41,143,2,3,209,0,0,1,0
42,154,3,1,0,0,1,1,1
29,91,1,3,0,0,0,0,0
40,89,3,2,216,1,1,1,0
60,173,3,3,0,0,0,1,0
52,155,3,2,0,0,0,1,0
52,158,2,3,251,0,0,0,1
52,194,2,2,0,0,0,1,0
26,195,3,3,0,1,1,1,0
63,191,2,3,205,0,0,0,0
49,130,4,1,281,0,1,1,0
52,85,3,3,0,0,0,0,0
45,128,4,3,0,0,0,1,0
44,132,3,1,308,0,0,0,0
34,188,1,3,0,0,0,1,0
65,170,4,2,0,0,1,1,1
64,143,2,3,0,1,1,1,0
26,182,2,2,0,0,0,0,0
26,184,2,3,577,0,1,1,1
40,140,3,1,0,0,0,0,0
39,141,4,1,0,1,1,1,1
33,145,1,3,0,0,0,1,0
64,181,2,2,0,0,1,1,1
33,178,3,1,0,1,1,1,0
59,145,4,1,198,0,0,1,0
57,164,2,3,422,0,1,1,1
26,164,2,3,301,0,0,1,0
33,104,2,3,0,0,0,0,1
44,111,2,2,0,0,0,1,0
55,145,2,3,0,0,0,1,0
29,182,1,3,0,0,0,1,0
48,133,2,2,0,0,0,1,0
33,120,2,3,76,0,0,0,1
53,115,2,3,0,0,0,0,0
52,83,1,1,0,0,0,1,0
35,180,1,3,571,0,1,1,1
58,151,3,2,0,0,0,0,0
54,133,1,2,0,0,0,0,1
32,81,2,2,0,0,0,0,1
45,102,4,2,81,0,0,0,0
27,134,1,2,307,0,0,1,0
27,130,3,2,0,0,0,0,0
32,142,4,2,120,0,1,1,1
65,143,4,2,0,0,0,1,0
38,184,3,1,0,0,0,1,0
33,188,2,2,581,0,0,0,0
48,162,3,1,400,0,0,0,0
35,108,2,3,0,1,0,0,0
61,141,3,1,0,0,1,1,1
32,140,4,3,0,0,1,0,1
51,173,1,2,0,0,0,1,0
35,101,3,3,150,0,0,1,0
36,123,2,3,0,0,0,0,0
29,184,4,3,612,0,0,1,0
46,115,2,3,0,1,1,1,1
49,174,3,2,590,0,0,0,0
35,135,3,2,0,0,0,1,0
34,165,1,3,541,0,0,0,0
50,133,4,2,342,0,0,0,1
44,142,1,3,0,0,0,0,0
38,129,3,3,0,0,1,1,1
43,121,1,2,0,0,1,1,1
28,112,2,2,0,0,0,1,0
46,122,3,3,0,0,1,1,1
29,135,3,1,0,0,1,1,1
